Nom,Sexe,Âge,Département,Fonction,Service,Date d'embauche,Salaire de base,Prime,Statut,Salaire total
Franck Delannoy,Homme,43,Zou,RH,Commercial,6/17/2024,333802.87,7108.17,CDD,340911.04
Cécile Le Dumont,Femme,35,Mono,Commercial,Technique,4/11/2018,462548.81,60392.36,CDI,522941.17
Alexandre Weber,Homme,23,Donga,Comptable,Commercial,6/13/2021,335977.58,94136.8,Stage,430114.38
Michelle Pinto,Homme,37,Borgou,Manager,Commercial,8/3/2024,310028.1,76821.9,CDI,386850
Laetitia Wagner,Homme,25,Couffo,Comptable,Commercial,5/11/2021,395755.33,77428.16,Consultant,473183.49
Michel-Nicolas Picard,Femme,32,Borgou,Développeur,IT,1/9/2024,237606.38,16461.19,Consultant,254067.57
Michelle Barbe,Femme,54,Borgou,Comptable,Finance,12/23/2021,116477.51,17920.37,Consultant,134397.88
Franck Schneider,Femme,53,Littoral,Développeur,Commercial,8/9/2020,262023.83,70018.13,Stage,332041.95999999996
Édouard Rousset,Homme,55,Borgou,Commercial,IT,7/29/2022,258279.56,56652.48,Consultant,314932.04
Céline Richard,Homme,57,Atlantique,Manager,RH,2/16/2020,459306.1,73271.06,Stage,532577.1599999999
Arnaude-Renée Gauthier,Femme,29,Mono,Manager,Support,5/10/2024,481275.65,58819.45,CDD,540095.1
Philippe de Poulain,Homme,51,Zou,Chargé de clientèle,Support,10/9/2024,119188.43,20142.4,CDD,139330.83
Yves Prévost,Femme,42,Littoral,Comptable,Technique,7/21/2018,229305.73,28622.69,CDD,257928.42
Maggie-Alexandria Leduc,Femme,37,Alibori,Technicien,Support,3/15/2016,246125.45,56531.48,Stage,302656.93
Mathilde de la Langlois,Homme,31,Mono,Technicien,Finance,10/1/2024,196602.5,30853.96,CDI,227456.46
André Collin,Homme,41,Zou,Manager,Finance,2/28/2020,238237.43,4228.8,Consultant,242466.22999999998
Lucas Weiss,Femme,33,Atacora,Technicien,RH,10/3/2021,357765.42,100882.63,CDD,458648.05
Océane Grégoire,Homme,58,Zou,Comptable,Finance,2/4/2019,148906.78,1959.68,Consultant,150866.46
Sylvie Pierre,Homme,52,Donga,Comptable,IT,8/19/2022,172354.3,13999.58,CDD,186353.87999999998
Georges du Bigot,Femme,57,Couffo,Manager,RH,9/21/2018,385544.62,45424.63,Consultant,430969.25
Alphonse Rossi,Homme,46,Alibori,Manager,RH,12/7/2015,269176.74,21822.48,CDD,290999.22
David Prévost,Femme,37,Donga,Commercial,Finance,11/15/2016,354648.53,80325.44,CDI,434973.97000000003
Michelle Dos Santos,Homme,34,Alibori,Comptable,RH,4/15/2023,363435.72,53530.45,Consultant,416966.17
Michel Leclercq,Homme,47,Alibori,Développeur,Finance,10/18/2024,428587.42,126423.45,Stage,555010.87
Éric Bertrand,Femme,46,Zou,Développeur,Commercial,7/5/2017,456984.22,15573.33,CDI,472557.55
Bernard Dias,Femme,22,Atacora,Chargé de clientèle,RH,6/17/2021,498765.27,20914,CDD,519679.27
Gabrielle Humbert,Femme,53,Collines,RH,Commercial,8/31/2016,150470.51,44653.62,Stage,195124.13
Victoire du Lefebvre,Homme,25,Littoral,Comptable,Technique,1/30/2019,159723.49,39247.89,Stage,198971.38
Frédéric du Hebert,Femme,32,Borgou,Comptable,Technique,1/28/2024,248988.84,7670.83,CDI,256659.66999999998
Véronique de la Barre,Femme,28,Plateau,Technicien,Finance,10/19/2024,271388.25,40051.11,Stage,311439.36
Rémy Bourdon,Femme,28,Mono,Technicien,Technique,7/29/2020,281631.77,10194.56,Stage,291826.33
Valérie Robin-Pelletier,Homme,60,Donga,Développeur,Technique,2/4/2017,122517.76,2195.09,CDI,124712.84999999999
Christophe du Valette,Femme,47,Ouémé,Commercial,Support,8/17/2024,164817.11,12535.61,CDD,177352.71999999997
Alain Petitjean,Femme,45,Plateau,Technicien,Finance,5/1/2023,224892.58,42325.89,Stage,267218.47
Christelle de la Goncalves,Femme,31,Zou,Manager,Finance,3/18/2020,479123.76,31748.61,CDD,510872.37
Alex Le Masson,Homme,53,Ouémé,RH,RH,10/31/2016,207999.3,44770.4,Consultant,252769.69999999998
Constance Mahe,Homme,37,Collines,Comptable,Finance,3/21/2019,204225.41,48285,Consultant,252510.41
Jérôme de la Teixeira,Femme,46,Atacora,Chargé de clientèle,IT,2/16/2021,106117.65,30136.74,Stage,136254.38999999998
Denis Marchand,Femme,54,Mono,Manager,Support,10/18/2018,352205.74,94280.43,Consultant,446486.17
Jeannine-Louise Lefèvre,Homme,44,Donga,RH,RH,11/10/2023,403687.66,46096.44,CDI,449784.1
Caroline Guillaume,Femme,26,Plateau,Chargé de clientèle,RH,12/20/2017,345005.25,4468.26,Consultant,349473.51
Thérèse-Victoire Masson,Femme,60,Atacora,RH,Finance,10/17/2018,174964.57,29470.13,CDD,204434.7
Emmanuel Le Legros,Femme,39,Ouémé,Développeur,Technique,3/17/2019,470646.63,74656.74,Stage,545303.37
Louise Duval Le Klein,Femme,60,Plateau,RH,IT,2/10/2022,373414.5,86930.11,CDI,460344.61
Capucine Le Baron,Homme,57,Borgou,Manager,Finance,7/7/2024,154727.96,36430.7,CDI,191158.65999999997
Isabelle Lelièvre,Homme,29,Alibori,Développeur,IT,12/24/2016,141074.24,31106.7,Stage,172180.94
Philippe Hamel,Homme,37,Borgou,Comptable,IT,2/6/2024,237148.03,49343.03,CDD,286491.06
Olivie Perrot,Femme,35,Donga,Commercial,IT,2/12/2019,129556.61,36312,Stage,165868.61
Luc Robert,Homme,42,Couffo,Technicien,Technique,11/5/2020,326576.37,78614.56,Consultant,405190.93
Lorraine Paris,Homme,35,Mono,RH,RH,3/23/2024,335066.54,62225.76,CDI,397292.3
Aimé Bodin,Femme,46,Atlantique,Manager,RH,9/8/2018,361640.59,63713.96,Consultant,425354.55000000005
Audrey Menard,Homme,41,Atlantique,RH,Support,12/20/2016,381294.53,110502.69,Stage,491797.22000000003
Marine Buisson,Femme,38,Donga,Technicien,RH,1/15/2018,326444.08,2645.47,CDI,329089.55
Colette Maréchal,Homme,44,Atlantique,Développeur,RH,6/29/2024,110609.29,14263.67,CDD,124872.95999999999
Timothée Marin-Lemoine,Femme,53,Ouémé,Commercial,Support,4/17/2016,110768.42,25077.66,Stage,135846.08
Nicolas Lefort,Femme,37,Ouémé,RH,Technique,8/17/2023,215576.09,49960.7,Stage,265536.79
Danielle Muller,Femme,56,Donga,Manager,Finance,4/30/2020,257642.37,49640.52,Stage,307282.89
Thibault de la Potier,Femme,41,Plateau,RH,Commercial,11/14/2020,284885.68,13139.7,CDD,298025.38
Jules Nguyen,Femme,24,Donga,Développeur,Support,5/10/2018,274102.36,74318.2,CDD,348420.56
Alphonse Hervé,Homme,43,Alibori,Commercial,Commercial,7/21/2017,263057.38,54120.39,Consultant,317177.77
Xavier Boutin de la Chrétien,Femme,41,Collines,Comptable,RH,12/8/2021,101279.66,13771.57,CDD,115051.23000000001
Hortense Masse,Femme,35,Alibori,Comptable,Finance,9/5/2021,408018.14,109510.24,Stage,517528.38
Honoré-Gabriel Muller,Femme,30,Mono,Développeur,Finance,7/2/2023,144869.59,9134.44,CDI,154004.03
Édouard Faivre,Femme,52,Collines,Chargé de clientèle,RH,7/27/2022,224132.11,30310.29,Stage,254442.4
Brigitte Leduc-Lemaître,Homme,35,Zou,Technicien,Support,3/24/2022,244327.68,43338.03,Consultant,287665.70999999996
Maggie-Suzanne Pons,Homme,37,Collines,Développeur,Commercial,8/20/2016,81064.46,20129.39,Consultant,101193.85
Yves Wagner,Homme,28,Alibori,Comptable,RH,6/15/2017,292046.44,24586.46,CDI,316632.9
Alexandria de Hernandez,Femme,42,Zou,Commercial,RH,12/26/2021,265453.77,23540.12,CDD,288993.89
Anaïs Gauthier,Femme,28,Zou,Manager,IT,11/14/2016,332024.83,88165.03,Consultant,420189.86
Hugues Nicolas Le Boucher,Femme,25,Ouémé,Développeur,IT,11/24/2019,311924.36,82034.04,CDD,393958.39999999997
Timothée-Tristan Cordier,Homme,46,Couffo,Commercial,Technique,8/7/2019,103411.76,12204.61,Consultant,115616.37
Adèle Becker-Munoz,Homme,22,Littoral,Chargé de clientèle,Finance,10/3/2016,230908.65,19138.87,CDI,250047.52
Guy Charles,Femme,48,Plateau,Comptable,Commercial,4/15/2017,220598.93,9440.77,CDI,230039.69999999998
Christophe Noël-Maury,Homme,27,Borgou,RH,Finance,12/31/2017,337675.41,96586.36,Consultant,434261.76999999996
Guy-Grégoire Petitjean,Homme,22,Couffo,Manager,Commercial,10/21/2017,328352.13,66704.15,CDD,395056.28
Gérard de Maréchal,Homme,50,Alibori,Comptable,Support,4/15/2024,123038.07,9280.52,Stage,132318.59
Frédéric Regnier,Homme,38,Atlantique,Chargé de clientèle,Finance,4/24/2017,224887.74,4399.49,Consultant,229287.22999999998
Thibaut Goncalves-Normand,Femme,29,Atacora,Commercial,IT,11/17/2015,352380.13,102157.72,Consultant,454537.85
Danielle Pineau du Evrard,Femme,47,Zou,Chargé de clientèle,Finance,4/25/2017,471514.74,127224.31,CDD,598739.05
Marie-Josette Blin,Femme,36,Plateau,Commercial,Commercial,6/15/2018,310335.13,13383.67,CDD,323718.8
Augustin Duhamel,Femme,43,Donga,Comptable,Technique,8/15/2023,214813.7,30134.89,CDI,244948.59000000003
Valentine-Alice Aubry,Femme,30,Ouémé,Technicien,Support,11/9/2018,245797.83,39311.5,Consultant,285109.32999999996
Alix Peltier-Allain,Femme,23,Atacora,Technicien,Finance,12/11/2020,391517.93,22301.28,Stage,413819.20999999996
Patrick Le Aubert,Homme,39,Zou,Manager,Support,5/11/2022,387867.97,41739.56,Consultant,429607.52999999997
Bernard Deschamps de la Barthelemy,Homme,31,Borgou,Technicien,Support,9/5/2016,287844.49,11079.18,Stage,298923.67
Gilles-Martin Gauthier,Homme,24,Ouémé,RH,Finance,1/17/2019,306257.98,24666.21,Consultant,330924.19
Nathalie Bertin Le Gallet,Femme,25,Mono,Commercial,Technique,2/27/2021,212028.83,13408.23,CDI,225437.06
Édouard Hamel,Femme,50,Collines,Développeur,Commercial,4/23/2017,466098.46,72290.91,Consultant,538389.37
Marguerite Bourdon,Homme,53,Mono,Développeur,IT,5/20/2017,260118.91,36722.7,CDD,296841.61
Susan Bonnin,Femme,52,Atlantique,Commercial,IT,11/11/2015,382995.42,77053.6,Stage,460049.02
William Lefèvre-Renault,Femme,39,Donga,Développeur,Finance,9/21/2022,292840.86,83523.49,Stage,376364.35
Nicolas Petitjean,Homme,48,Mono,Comptable,Technique,6/23/2019,422817.3,51014.91,CDD,473832.20999999996
Patricia Le Gall,Homme,49,Littoral,Commercial,IT,5/8/2017,390663.36,71843.07,CDD,462506.43
Stéphane Marion,Femme,50,Atlantique,Manager,RH,3/5/2024,297017.18,27531.77,Consultant,324548.95
Anaïs Bourdon,Femme,51,Atacora,RH,IT,7/16/2017,448450.31,78569.56,Consultant,527019.87
Antoinette Bourdon,Homme,34,Atlantique,Comptable,Technique,9/12/2019,459733.62,22644.17,CDD,482377.79
Henriette Ollivier,Homme,36,Mono,Développeur,Commercial,11/3/2017,141087.64,22424.59,CDI,163512.23
Célina Camus,Femme,24,Atacora,Chargé de clientèle,IT,5/4/2017,440978.92,5294.97,Consultant,446273.88999999996
Gilbert Hardy,Femme,46,Atacora,Développeur,IT,7/3/2021,371856.9,33684.21,CDI,405541.11000000004
Caroline Valette,Homme,40,Borgou,Développeur,Technique,11/18/2017,147979.73,4657.71,CDI,152637.44
Danielle Devaux,Femme,49,Atlantique,Développeur,Commercial,11/5/2019,253968.82,75631.12,Stage,329599.94
Camille Bonneau,Femme,50,Mono,RH,Support,10/26/2020,142049.68,34029.16,Consultant,176078.84
Auguste Poulain,Femme,35,Zou,Chargé de clientèle,Support,8/6/2024,233767.69,62482.62,Stage,296250.31
Jacques Grégoire,Femme,27,Couffo,Développeur,Support,5/14/2024,400560.24,819.61,Consultant,401379.85
Amélie Lesage,Femme,43,Atlantique,Manager,Technique,6/9/2019,226366.56,53558.69,CDI,279925.25
Léon-Théophile Marie,Femme,34,Alibori,Comptable,Finance,12/9/2015,181824.66,15651.34,CDI,197476
Michèle Hamon,Femme,34,Mono,Manager,Technique,10/22/2024,403359.45,116545.81,CDD,519905.26
Eugène Reynaud Le Albert,Homme,59,Atacora,Manager,Commercial,12/12/2023,93453.12,19310.66,Stage,112763.78
Nicole Langlois-Germain,Homme,28,Borgou,Manager,Commercial,4/16/2017,276150.28,55948.5,CDI,332098.78
André Girard de la Bouchet,Homme,34,Borgou,RH,Finance,11/29/2015,375744.79,64959.73,CDD,440704.51999999996
Amélie Hamon,Homme,55,Donga,Commercial,Commercial,4/2/2016,477672.09,89271.29,Stage,566943.38
Benoît Pires,Femme,42,Zou,Chargé de clientèle,Support,11/27/2020,249529.44,5319.81,CDI,254849.25
Arthur Le Riou,Femme,37,Ouémé,Chargé de clientèle,Technique,11/30/2018,334563.6,23525.61,CDI,358089.20999999996
Xavier Benoit de la Salmon,Femme,59,Ouémé,Comptable,Technique,1/21/2024,320679.93,51336.7,Consultant,372016.63
Paul Brunet,Femme,24,Borgou,Manager,Support,12/19/2022,133010.04,32685.85,CDI,165695.89
Céline Rémy,Femme,38,Mono,RH,Technique,2/13/2017,471182.21,4584.83,Stage,475767.04000000004
Isabelle Le Schmitt,Homme,23,Atacora,Chargé de clientèle,Technique,1/12/2017,201961.33,32816.22,Consultant,234777.55
Patrick Boyer,Femme,29,Plateau,Chargé de clientèle,Commercial,3/18/2019,341281.93,85858.67,CDD,427140.6
Jeannine Couturier-Delmas,Femme,30,Mono,Technicien,Technique,4/13/2021,316403.97,61199.36,Stage,377603.32999999996
Zoé Dias,Femme,51,Alibori,Manager,Support,12/6/2018,214708.89,29814.96,Stage,244523.85
Henri-Jean Mace,Homme,31,Donga,Comptable,Commercial,1/25/2020,355050.08,20887.12,CDD,375937.2
Jules Mercier,Femme,54,Zou,Chargé de clientèle,Support,6/28/2023,271926.84,9478.54,Stage,281405.38
Thierry du Bazin,Femme,27,Borgou,Chargé de clientèle,IT,11/10/2017,310504.73,64169.52,CDD,374674.25
René-Bertrand Le Gall,Homme,29,Ouémé,Technicien,Support,8/18/2023,481944.21,133541.52,Consultant,615485.73
Andrée Guillet,Homme,25,Mono,Technicien,IT,3/1/2024,190004.81,51494.66,Consultant,241499.47
Alfred Gaillard,Femme,30,Couffo,Technicien,Commercial,5/3/2016,381954.87,53299.92,CDD,435254.79
Timothée-Denis Couturier,Femme,23,Plateau,RH,IT,12/27/2015,217029.52,31358.91,CDD,248388.43
Arnaude Bodin,Femme,55,Couffo,Comptable,Support,2/7/2022,422633.01,68302.65,CDI,490935.66000000003
Alfred Boutin,Femme,51,Plateau,Comptable,Finance,4/13/2021,386508.42,25634.87,Stage,412143.29
Agnès du Laroche,Homme,52,Atlantique,Développeur,Technique,5/16/2017,329692.02,23672.87,Consultant,353364.89
Michèle du Bonnin,Femme,35,Couffo,Technicien,IT,4/12/2018,215956.4,15716.24,Consultant,231672.63999999998
Simone-Hélène Gérard,Femme,23,Ouémé,Commercial,Technique,9/14/2018,261446.25,63246.12,Consultant,324692.37
Nathalie Letellier,Femme,51,Atlantique,Technicien,Support,5/6/2017,401915.01,93457.4,Stage,495372.41000000003
Auguste Riou de la Lebrun,Femme,41,Borgou,Commercial,Finance,10/27/2020,198490.39,2481.06,CDD,200971.45
Bernard-Yves Louis,Femme,55,Ouémé,Technicien,RH,12/22/2017,342629.92,20682.37,CDD,363312.29
Jean Ferreira,Homme,26,Mono,Chargé de clientèle,Commercial,2/13/2018,338651.85,81748.08,Consultant,420399.93
Édith Teixeira-Lebrun,Femme,56,Atacora,Technicien,Commercial,12/23/2019,147004.66,10161.95,CDD,157166.61000000002
Michel Lebrun,Homme,25,Donga,Chargé de clientèle,IT,8/4/2016,325618.99,86041.11,CDI,411660.1
Audrey Menard Le Coulon,Homme,48,Couffo,Technicien,Commercial,8/18/2022,477640.11,121115.53,CDD,598755.64
Nicole Neveu,Femme,27,Collines,Commercial,Finance,8/12/2024,364533.25,56492.02,CDI,421025.27
Lucy Gros,Homme,52,Alibori,Technicien,IT,2/26/2016,448958.85,133659.24,CDD,582618.09
Marcel Vallet Le Renault,Homme,33,Couffo,Commercial,Technique,10/10/2021,326554.57,11998.81,CDI,338553.38
Auguste Faure,Femme,26,Atacora,Manager,Technique,2/24/2023,266646.1,32257.27,Stage,298903.37
Laurent Jean,Homme,38,Littoral,Technicien,Technique,2/23/2022,114875,3730.94,CDD,118605.94
Grégoire Raynaud,Homme,23,Donga,Technicien,Commercial,6/19/2018,419900.92,42245.63,CDI,462146.55
Céline Georges,Homme,37,Couffo,Commercial,IT,7/21/2024,444136.3,119974.81,Stage,564111.11
Marine Garnier,Femme,36,Littoral,RH,Technique,9/2/2024,461699.35,6588.07,Stage,468287.42
Frédéric Barbier-Pires,Homme,50,Borgou,RH,Support,1/12/2019,100062.81,11229.89,Stage,111292.7
Diane Roux,Femme,27,Couffo,Commercial,RH,7/24/2022,260369.85,26475.06,Stage,286844.91000000003
Louis Guyot,Femme,35,Plateau,Chargé de clientèle,Finance,4/29/2017,228489.52,37049.47,Stage,265538.99
Jérôme-Gérard Moulin,Femme,38,Atlantique,Chargé de clientèle,Technique,10/22/2023,366562.16,86187.72,CDD,452749.88
Véronique-Jeanne Hervé,Femme,56,Collines,Manager,IT,5/10/2020,483218.14,66673.81,Stage,549891.95
Olivier Jourdan,Femme,56,Plateau,Commercial,Technique,12/4/2020,234474.5,6973.07,Stage,241447.57
Océane Henry,Homme,55,Littoral,Chargé de clientèle,Finance,4/26/2019,128513.71,23436.93,Stage,151950.64
Arthur de Grondin,Femme,52,Zou,Technicien,Technique,6/14/2017,362602.46,12125.23,Consultant,374727.69
Luc de la Alexandre,Femme,39,Zou,Développeur,Support,3/24/2022,225575.21,10315.86,Consultant,235891.07
Pénélope Poulain,Femme,54,Borgou,RH,Technique,3/7/2021,189687.75,5792.62,Consultant,195480.37
Élodie Pruvost,Femme,33,Collines,Chargé de clientèle,RH,9/29/2018,393459.06,47664.76,CDD,441123.82
Victor Gallet-Benoit,Femme,41,Atacora,Comptable,Finance,3/24/2016,130763.88,13813.18,Consultant,144577.06
Éléonore Le Leclercq,Femme,50,Ouémé,Commercial,Support,1/7/2018,492531.12,11607.33,Stage,504138.45
Richard Lebrun,Homme,26,Atlantique,Développeur,RH,5/19/2023,398395.22,72062.04,CDI,470457.25999999995
Éléonore François,Femme,60,Donga,Manager,RH,1/23/2018,198913.7,26858.19,Stage,225771.89
Augustin-Augustin Roy,Femme,49,Couffo,Chargé de clientèle,RH,7/10/2022,486480.89,48285.8,Stage,534766.6900000001
Denis Brun,Femme,35,Littoral,Manager,RH,7/6/2019,484462.31,124983.32,CDI,609445.63
Luc de la Dupuis,Femme,30,Alibori,Technicien,Technique,12/23/2015,145124.58,12556.97,CDI,157681.55
Élise Le Legros,Femme,46,Plateau,Commercial,Finance,8/1/2022,424729.29,56712.87,CDD,481442.16
Clémence Allard,Homme,59,Collines,Technicien,IT,8/19/2022,409568.72,87232.9,CDI,496801.62
Louise Fournier,Homme,22,Collines,RH,Commercial,8/16/2018,452961.56,94527.79,Stage,547489.35
Patrick Olivier de la Rodriguez,Homme,47,Plateau,Technicien,RH,10/18/2021,209964.07,8645.66,Stage,218609.73
Christophe du Leclerc,Femme,37,Mono,Développeur,RH,4/9/2022,435293.08,112593.88,CDI,547886.96
Anaïs Masson de Goncalves,Homme,36,Atlantique,Technicien,Technique,12/14/2018,412675.79,4909.9,CDD,417585.69
Élisabeth Payet-Hubert,Homme,34,Donga,Commercial,IT,2/18/2016,208255.99,50231.57,Consultant,258487.56
Eugène Lopes,Femme,60,Mono,Commercial,RH,8/3/2023,457608.96,117679.3,CDI,575288.26
Catherine-Diane Lenoir,Femme,40,Atlantique,Comptable,RH,6/4/2022,433954.92,15440.59,Stage,449395.51
Michel de Blanchet,Femme,48,Atlantique,Manager,RH,9/11/2019,138091.16,36094.2,CDI,174185.36
Océane Germain,Homme,60,Donga,Chargé de clientèle,Support,11/13/2021,87284.67,5722.78,Stage,93007.45
Victor-Thibault Nicolas,Homme,51,Donga,Chargé de clientèle,RH,4/15/2018,421488.96,5440.38,CDI,426929.34
Paul de Antoine,Femme,38,Borgou,Développeur,IT,4/1/2021,222224.77,43636.92,Consultant,265861.69
Valérie Leconte,Homme,54,Donga,Comptable,Support,5/27/2023,397873.06,72284.76,Consultant,470157.82
Agathe Aubry-Duval,Homme,40,Plateau,RH,Support,3/13/2020,271407.23,11975.75,Stage,283382.98
Inès Valette,Homme,37,Collines,Commercial,Commercial,11/29/2015,308525.33,47192.62,CDI,355717.95
Auguste Martin,Femme,35,Donga,Chargé de clientèle,Commercial,2/16/2023,386108.31,23398.57,Stage,409506.88
Adrien Wagner,Femme,58,Ouémé,Chargé de clientèle,Technique,7/8/2019,80594.02,10151.55,Stage,90745.57
Maurice Cohen,Homme,42,Zou,Comptable,RH,7/16/2022,280752.39,50912.05,CDI,331664.44
Denis Seguin,Homme,38,Mono,Comptable,Commercial,12/22/2020,98542.26,21321.63,Consultant,119863.89
Thierry-Henri Voisin,Femme,29,Donga,Développeur,IT,8/16/2024,257508.23,19275.5,Stage,276783.73
Virginie Royer du Rousset,Homme,60,Mono,Développeur,RH,6/28/2024,290231.3,84295.74,CDI,374527.04
Valérie Aubry,Homme,58,Couffo,Chargé de clientèle,Technique,9/27/2020,418983.76,63470.75,CDI,482454.51
Renée-Marine Collet,Femme,25,Alibori,Chargé de clientèle,Finance,12/29/2023,397380.37,57889.29,CDD,455269.66
Alexandre Guillet,Homme,33,Mono,Chargé de clientèle,Commercial,7/26/2017,374130.22,90964.45,Consultant,465094.67
Caroline Guyot,Femme,43,Littoral,Technicien,Technique,3/2/2023,405735.98,59913.06,Consultant,465649.04
Alexandria Étienne,Homme,55,Plateau,Comptable,Finance,7/15/2016,459054.69,124759.48,CDI,583814.17
Maggie Mathieu,Homme,38,Littoral,Chargé de clientèle,Commercial,9/12/2024,348457.62,99420.53,Consultant,447878.15
Nathalie Jacques,Femme,25,Couffo,Comptable,Support,11/21/2021,472252.24,41724.54,CDI,513976.77999999997
Hortense Le Roux,Homme,47,Atlantique,Commercial,Finance,2/17/2016,283788.58,32816.53,Stage,316605.11
Élodie Michaud,Homme,34,Donga,Développeur,Support,12/29/2015,444436.52,17646.76,CDI,462083.28
Emmanuelle Lecomte,Femme,24,Plateau,Développeur,RH,12/31/2016,122559.06,9291.77,Consultant,131850.83
Éric Guibert,Homme,41,Zou,RH,Support,6/4/2016,162024.79,27084.07,Consultant,189108.86000000002
Cécile Brunel,Homme,51,Ouémé,Manager,Finance,9/8/2016,250843.17,2316.93,Stage,253160.1
Aimé Roger,Homme,57,Atacora,Développeur,RH,11/25/2021,142015.08,5630.76,CDI,147645.84
Élisabeth Chevallier Le Vallet,Femme,45,Plateau,Commercial,Finance,9/1/2016,119999.86,14538.22,Consultant,134538.08
Grégoire du Caron,Femme,50,Borgou,Développeur,Finance,3/4/2018,142026.56,28324.92,CDD,170351.47999999998
Michelle-Susanne Mary,Homme,44,Collines,Chargé de clientèle,RH,12/11/2018,456193.24,79706.15,Consultant,535899.39
Inès Ferrand-Guyot,Femme,52,Mono,Développeur,Support,3/2/2018,382814.1,109940.84,Stage,492754.93999999994
Denise Michaud,Homme,49,Atlantique,Développeur,Support,7/27/2019,449591.01,15389.39,Stage,464980.4
Marguerite Peron,Femme,29,Borgou,RH,Finance,3/1/2016,424396.1,83743.49,CDD,508139.58999999997
Guillaume Dupuis,Femme,52,Alibori,Comptable,Support,9/4/2021,103521.62,26592.12,Consultant,130113.73999999999
Bertrand Marie du Leroux,Femme,30,Atacora,Technicien,IT,10/18/2020,414362.46,79680.59,Consultant,494043.05000000005
Jacques du Samson,Homme,41,Collines,Technicien,IT,7/7/2017,255225.9,71305.53,CDD,326531.43
Brigitte Salmon,Femme,35,Mono,Développeur,RH,3/10/2018,415724.63,46378.79,CDD,462103.42
Josette du Rousset,Homme,45,Atlantique,Technicien,IT,9/9/2022,209267.07,20221.16,Consultant,229488.23
Charles Marchal,Femme,30,Alibori,Commercial,Technique,4/5/2021,256567.61,15129.74,Stage,271697.35
Franck Gomez,Homme,44,Mono,RH,IT,3/27/2023,83170.94,774.37,Consultant,83945.31
Josette Hamel,Homme,55,Atlantique,Manager,IT,10/3/2016,286731.26,16835.68,CDD,303566.94
Théophile-Guy Guyot,Femme,22,Borgou,Développeur,Finance,2/3/2018,483379.72,9703.77,CDI,493083.49
Michelle Devaux,Homme,46,Atlantique,Technicien,Finance,4/13/2022,310567.51,85184.31,Stage,395751.82
Marie Raymond,Homme,57,Atlantique,RH,Commercial,9/23/2022,335567.21,92826.62,Stage,428393.83
Noémi-Claudine Germain,Femme,57,Plateau,Développeur,Finance,8/7/2020,93933.32,25161.32,CDI,119094.64000000001
Suzanne Guillet,Homme,35,Zou,RH,Finance,4/10/2020,110468.09,8689.74,CDD,119157.83
Alix Goncalves,Femme,25,Couffo,Manager,Support,6/9/2018,420481.61,55454.8,Stage,475936.41
William Brun,Homme,57,Borgou,RH,Technique,4/19/2017,341197.03,23431.9,CDI,364628.93000000005
Olivie Lopez de la Barre,Femme,31,Zou,Comptable,IT,6/18/2018,92203.13,18290.57,Stage,110493.70000000001
Clémence Marie du Da Silva,Femme,37,Mono,Commercial,Support,4/28/2017,273081.94,28965.39,CDI,302047.33
Anne Bouchet-Schneider,Femme,24,Donga,Manager,Technique,5/1/2019,141247.98,37987.58,Consultant,179235.56
Victor Guérin-Picard,Femme,30,Collines,Manager,Technique,5/10/2017,349931.51,51915.51,CDD,401847.02
Christine Pinto,Homme,30,Couffo,Technicien,IT,4/24/2020,337259.44,5921.45,Consultant,343180.89
Clémence Rousseau,Homme,50,Borgou,Développeur,IT,6/4/2018,254968.72,68832.91,CDI,323801.63
Alexandria Blondel,Homme,48,Collines,Manager,Finance,12/20/2023,140906.77,9719.26,CDD,150626.03
Gilbert du Martinez,Homme,49,Collines,Comptable,Support,8/29/2023,334011.06,64656.13,Stage,398667.19
Adèle Vincent,Femme,52,Alibori,RH,Support,8/18/2020,455045.1,53546.85,CDD,508591.94999999995
Franck Brun,Homme,33,Donga,Commercial,Finance,9/30/2022,374508.38,94860.93,Consultant,469369.31
Claude Hoarau,Homme,55,Borgou,Chargé de clientèle,Finance,9/21/2019,155804.86,26239.78,CDI,182044.63999999998
Raymond Peron,Femme,42,Couffo,Comptable,IT,3/3/2022,234721.99,17427.88,CDD,252149.87
David Pascal,Homme,25,Atacora,Chargé de clientèle,RH,12/19/2019,177420.88,12730.42,CDI,190151.30000000002
Adélaïde Carlier,Femme,27,Atacora,Développeur,Commercial,11/18/2023,313065.43,3954.68,Stage,317020.11
Maurice Garnier Le Hubert,Femme,44,Atacora,Développeur,Finance,6/3/2016,202899.77,36241.01,Stage,239140.78
Jeanne-Jacqueline Nguyen,Homme,51,Collines,Manager,Technique,5/6/2023,178960.38,34116.8,CDI,213077.18
Louis Reynaud,Femme,52,Couffo,Chargé de clientèle,IT,9/20/2022,478792.01,40044.8,CDD,518836.81
David Gaudin,Femme,37,Collines,Manager,IT,10/16/2021,308368.53,73827.71,CDD,382196.24000000005
Adrienne Leclerc,Femme,54,Mono,Manager,Support,12/28/2015,245633.31,59442.02,Consultant,305075.33
Susanne Moreno-Coulon,Homme,60,Collines,Chargé de clientèle,Commercial,1/16/2021,376681.32,73961.49,CDD,450642.81
Alex Gaillard,Homme,59,Atacora,Manager,Technique,7/7/2016,408516.99,16853.9,Stage,425370.89
Auguste Collet-Bonneau,Homme,23,Atlantique,Comptable,RH,12/31/2017,127911.64,19067.04,Consultant,146978.68
